Symbol,Series,Record Date,Bc Start Date,Bc End Date,Ex Date,No Delivery Start Date,No Delivery End Date,Purpose,
0559F16,GC,04/06/2006,-,-,01/06/2006,01/06/2006,01/06/2006,INT,
0559F16,GC,04/12/2009,-,-,01/12/2009,-,-,INTEREST PAYMENT,
0559F16,GC,04/06/2009,-,-,01/06/2009,-,-,INTEREST PAYMENT,
0559F16,GC,04/12/2008,-,-,01/12/2008,-,-,INTEREST PAYMENT,
0559F16,GC,04/12/2007,-,-,29/11/2007,-,-,INTEREST PAYMENT,
0559F16,GC,04/06/2007,-,-,31/05/2007,-,-,INTEREST PAYMENT,
0559F16,GC,04/06/2008,-,-,30/05/2008,-,-,INTEREST PAYMENT,
0559F16,GC,04/12/2006,-,-,30/11/2006,-,-,INTEREST PAYMENT,
0559F16,GC,04/06/2010,-,-,01/06/2010,-,-,INTEREST PAYMENT,
0559F16,GC,04/06/2011,-,-,01/06/2011,-,-,-,
0559F16,GC,04/12/2010,-,-,01/12/2010,-,-,-,
0564A19,GC,02/01/2010,-,-,29/12/2009,-,-,INTEREST PAYMENT,
0564A19,GC,02/01/2009,-,-,30/12/2008,-,-,INTEREST PAYMENT,
0564A19,GC,02/01/2008,-,-,28/12/2007,-,-,INTEREST PAYMENT,
0564A19,GC,02/07/2009,-,-,26/06/2009,-,-,INTEREST PAYMENT,
0564A19,GC,02/07/2008,-,-,26/06/2008,-,-,INTEREST PAYMENT,
0564A19,GC,02/07/2010,-,-,28/06/2010,-,-,INTEREST PAYMENT,
0564A19,GC,02/07/2006,-,-,29/06/2006,29/06/2006,29/06/2006,INTEREST PAYMENT,
0564A19,GC,02/01/2007,-,-,28/12/2006,-,-,INTEREST PAYMENT,
0564A19,GC,02/07/2007,-,-,28/06/2007,-,-,INTEREST PAYMENT,
0564A19,GC,02/01/2011,-,-,30/12/2010,-,-,-,
0564A19,GC,02/07/2011,-,-,28/06/2011,-,-,-,
0569I18,GC,25/03/2008,-,-,18/03/2008,-,-,INTEREST PAYMENT,
0569I18,GC,25/09/2009,-,-,22/09/2009,-,-,INTEREST PAYMENT,
0569I18,GC,25/03/2009,-,-,20/03/2009,-,-,INTEREST PAYMENT,
0569I18,GC,25/03/2007,-,-,22/03/2007,-,-,INTEREST PAYMENT,
0569I18,GC,25/09/2006,-,-,21/09/2006,21/09/2006,21/09/2006,INTEREST PAYMENT,
0569I18,GC,25/03/2010,-,-,22/03/2010,-,-,INTEREST PAYMENT,
0569I18,GC,25/09/2008,-,-,22/09/2008,-,-,INTEREST PAYMENT,
0569I18,GC,25/09/2007,-,-,20/09/2007,-,-,INTEREST PAYMENT,
0569I18,GC,25/03/2011,-,-,22/03/2011,-,-,-,
0569I18,GC,25/09/2010,-,-,22/09/2010,-,-,-,
0587A10,GC,02/01/2010,-,-,29/12/2009,-,-,INT PAYMENT/ REDEMPTION,
0587A10,GC,02/01/2009,-,-,30/12/2008,-,-,INTEREST PAYMENT,
0587A10,GC,02/07/2009,-,-,26/06/2009,-,-,INTEREST PAYMENT,
0587A10,GC,02/07/2008,-,-,26/06/2008,-,-,INTEREST PAYMENT,
0587A10,GC,02/07/2006,-,-,29/06/2006,29/06/2006,29/06/2006,INTEREST PAYMENT,
0587A10,GC,02/01/2007,-,-,28/12/2006,-,-,INTEREST PAYMENT,
0587A10,GC,02/01/2008,-,-,28/12/2007,-,-,INTEREST PAYMENT,
0587A10,GC,02/07/2007,-,-,28/06/2007,-,-,INTEREST PAYMENT,
0587H22,GC,28/02/2008,-,-,25/02/2008,-,-,INTEREST PAYMENT,
0587H22,GC,28/08/2007,-,-,23/08/2007,-,-,INTEREST PAYMENT,
0587H22,GC,28/08/2008,-,-,25/08/2008,-,-,INTEREST PAYMENT,
0587H22,GC,28/08/2009,-,-,25/08/2009,-,-,INTEREST PAYMENT,
0587H22,GC,28/02/2009,-,-,25/02/2009,-,-,INTEREST PAYMENT,
0587H22,GC,28/02/2010,-,-,24/02/2010,-,-,INTEREST PAYMENT,
0587H22,GC,28/08/2006,-,-,24/08/2006,24/08/2006,24/08/2006,INTEREST PAYMENT,
0587H22,GC,28/02/2007,-,-,23/02/2007,-,-,INTEREST PAYMENT,
0587H22,GC,28/02/2011,-,-,24/02/2011,-,-,-,
0587H22,GC,28/08/2010,-,-,25/08/2010,-,-,-,
0601C28,GC,25/03/2010,-,-,22/03/2010,-,-,INTEREST PAYMENT,
0601C28,GC,25/09/2008,-,-,22/09/2008,-,-,INTEREST PAYMENT,
0601C28,GC,25/09/2007,-,-,20/09/2007,-,-,INTEREST PAYMENT,
0601C28,GC,25/03/2008,-,-,18/03/2008,-,-,INTEREST PAYMENT,
0601C28,GC,25/09/2009,-,-,22/09/2009,-,-,INTEREST PAYMENT,
0601C28,GC,25/03/2009,-,-,20/03/2009,-,-,INTEREST PAYMENT,
0601C28,GC,25/03/2007,-,-,22/03/2007,-,-,INTEREST PAYMENT,
