"SYMBOL","EX_DATE","DIVIDEND"
"3IINFOTECH","2005-06-30","1"
"3IINFOTECH","2008-07-07","1.5"
"3IINFOTECH","2009-07-09","1.5"
"3IINFOTECH","2010-07-08","1.5"
"3IINFOTECH","2006-06-30","2"
"3IINFOTECH","2007-07-05","2"
"ABAN","2009-09-08","3.6"
"ABAN","2010-09-15","3.6"
"ABAN","2005-08-22","2"
"ABAN","2006-07-06","2.6"
"ABAN","2007-08-08","3"
"ABAN","2008-09-08","3.6"
"ABB","2010-05-03","2"
"ABB","2011-05-02","2"
"ABB","2009-05-11","2.2"
"ABB","2008-05-26","2.2"
"ABB","2006-05-12","8"
"ABB","2007-05-14","10"
"ABGSHIP","2007-09-20","1.5"
"ABGSHIP","2010-09-16","4"
"ABGSHIP","2008-09-11","2"
"ABIRLANUVO","2005-06-09","4"
"ABIRLANUVO","2009-07-02","4"
"ABIRLANUVO","2006-08-08","5"
"ABIRLANUVO","2008-07-03","5.75"
"ABIRLANUVO","2007-03-20","5.5"
"ACC","2006-03-29","8"
"ACC","2009-03-24","10"
"ACC","2008-04-10","10"
"ACC","2008-07-31","10"
"ACC","2010-07-28","10"
"ACC","2007-03-14","15"
"ACC","2011-03-29","21.5"
"ADANIENT","2009-08-20","1"
"ADANIENT","2010-08-12","1"
"ADANIENT","2005-08-05","0.4"
"ADANIENT","2006-07-24","0.45"
"ADANIENT","2007-03-22","0.45"
"ADANIENT","2008-09-18","0.6"
"ALBK","2009-05-19","2.5"
"ALBK","2010-05-13","5.5"
"ALBK","2011-05-12","6"
"ALBK","2005-06-02","1.5"
"ALBK","2007-06-07","3"
"ALBK","2008-05-29","3.5"
"ALBK","2006-06-29","4"
"ALOKTEXT","2010-09-08","0.25"
"ALOKTEXT","2009-04-28","0.75"
"ALOKTEXT","2008-09-18","1.2"
"ALOKTEXT","2006-09-18","1.2"
"ALOKTEXT","2005-09-15","1.2"
"ALOKTEXT","2007-09-14","1.4"
"AMBUJACEM","2008-02-14","1"
"AMBUJACEM","2010-02-18","1.2"
"AMBUJACEM","2009-08-04","1.2"
"AMBUJACEM","2010-08-05","1.2"
"AMBUJACEM","2011-02-11","1.4"
"AMBUJACEM","2007-08-03","2.5"
"AMBUJACEM","2005-08-17","0.6"
"AMBUJACEM","2007-02-21","0.8"
"AMBUJACEM","2009-02-18","1"
"AMBUJACEM","2006-05-04","1"
"AMBUJACEM","2008-08-08","1.2"
"AMBUJACEM","2006-11-02","1.5"
"ANDHRABANK","2009-06-12","4.5"
"ANDHRABANK","2010-06-03","5"
"ANDHRABANK","2011-06-15","5.5"
"ANDHRABANK","2005-05-11","1.5"
