INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTIONTYPE,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,CNXIT,28-Apr-2005,0,XX,2949,2949,2905.6,2938.95,2938.95,283,828.28,17900,3500,1-APR-2005,
FUTIDX,CNXIT,26-May-2005,0,XX,0,0,0,2960,2973.6,0,0,0,0,1-APR-2005,
FUTIDX,CNXIT,30-Jun-2005,0,XX,0,0,0,2968.05,2991.1,0,0,0,0,1-APR-2005,
FUTIDX,NIFTY,28-Apr-2005,0,XX,2028,2064.9,2015.6,2060.9,2060.9,154647,315477.75,14234500,420300,1-APR-2005,
FUTIDX,NIFTY,26-May-2005,0,XX,2026,2064.8,2015.3,2059.4,2059.4,776,1585.55,80000,2600,1-APR-2005,
FUTIDX,NIFTY,30-Jun-2005,0,XX,2026,2064.65,2025,2064.65,2064.65,10,20.42,700,700,1-APR-2005,
FUTINT,NSE10Y06,28-Apr-2005,0,XX,0,0,0,94.23,94.03,0,0,0,0,1-APR-2005,
FUTINT,NSE10Y06,26-May-2005,0,XX,0,0,0,94.46,93.99,0,0,0,0,1-APR-2005,
FUTINT,NSE10Y06,30-Jun-2005,0,XX,0,0,0,97.95,93.9,0,0,0,0,1-APR-2005,
FUTINT,NSE10Y06,29-Sep-2005,0,XX,0,0,0,93.42,93.67,0,0,0,0,1-APR-2005,
FUTINT,NSE10Y06,29-Dec-2005,0,XX,0,0,0,93.87,93.42,0,0,0,0,1-APR-2005,
FUTINT,NSE10Y06,30-Mar-2006,0,XX,0,0,0,93.16,93.14,0,0,0,0,1-APR-2005,
FUTINT,NSE10YZC,28-Apr-2005,0,XX,0,0,0,51.02,50.62,0,0,0,0,1-APR-2005,
FUTINT,NSE10YZC,26-May-2005,0,XX,0,0,0,51.04,50.58,0,0,0,0,1-APR-2005,
FUTINT,NSE10YZC,30-Jun-2005,0,XX,0,0,0,53.37,50.52,0,0,0,0,1-APR-2005,
FUTINT,NSE10YZC,29-Sep-2005,0,XX,0,0,0,50.37,50.35,0,0,0,0,1-APR-2005,
FUTINT,NSE10YZC,29-Dec-2005,0,XX,0,0,0,50.64,50.18,0,0,0,0,1-APR-2005,
FUTINT,NSE10YZC,30-Mar-2006,0,XX,0,0,0,50.02,50.01,0,0,0,0,1-APR-2005,
FUTINT,NSETB91D,28-Apr-2005,0,XX,0,0,0,96.01,94.71,0,0,0,0,1-APR-2005,
FUTINT,NSETB91D,26-May-2005,0,XX,0,0,0,95.35,95.18,0,0,0,0,1-APR-2005,
FUTINT,NSETB91D,30-Jun-2005,0,XX,0,0,0,99.67,95.72,0,0,0,0,1-APR-2005,
FUTINT,NSETB91D,29-Sep-2005,0,XX,0,0,0,98.82,97.13,0,0,0,0,1-APR-2005,
FUTINT,NSETB91D,29-Dec-2005,0,XX,0,0,0,99.64,98.57,0,0,0,0,1-APR-2005,
FUTINT,NSETB91D,30-Mar-2006,0,XX,0,0,0,100.04,100.03,0,0,0,0,1-APR-2005,
FUTSTK,ACC,28-Apr-2005,0,XX,359,362.9,356,362.5,362.5,1986,5368.32,4245000,94500,1-APR-2005,
FUTSTK,ACC,26-May-2005,0,XX,0,0,0,362,367.35,0,0,3000,0,1-APR-2005,
FUTSTK,ACC,30-Jun-2005,0,XX,0,0,0,366.1,369.5,0,0,0,0,1-APR-2005,
FUTSTK,ANDHRABANK,28-Apr-2005,0,XX,109.35,111.6,106.75,111.25,111.25,6318,15946.53,5885700,531300,1-APR-2005,
FUTSTK,ANDHRABANK,26-May-2005,0,XX,108,112,107.6,111.55,111.55,23,58.24,41400,4600,1-APR-2005,
FUTSTK,ANDHRABANK,30-Jun-2005,0,XX,0,0,0,109.75,112.05,0,0,0,0,1-APR-2005,
FUTSTK,ARVINDMILL,28-Apr-2005,0,XX,117.75,120.5,114.85,119.8,119.8,2938,7460.5,11943250,582650,1-APR-2005,
FUTSTK,ARVINDMILL,26-May-2005,0,XX,116.8,121.4,116.8,120.45,120.45,14,35.82,83850,15050,1-APR-2005,
FUTSTK,ARVINDMILL,30-Jun-2005,0,XX,126.3,126.3,126.3,126.3,120.45,1,2.71,2150,2150,1-APR-2005,
FUTSTK,BAJAJAUTO,28-Apr-2005,0,XX,1055.45,1081.95,1050.05,1079.8,1079.8,970,2073.19,187000,-18200,1-APR-2005,
