INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-May-2011,0,XX,10589.95,10744.4,10541.55,10666.25,10666.25,46748,124644.63,1762275,-73100,20-MAY-2011,
FUTIDX,BANKNIFTY,30-Jun-2011,0,XX,10554.85,10700,10515.65,10632.35,10632.35,3781,10046.93,182625,15750,20-MAY-2011,
FUTIDX,BANKNIFTY,28-Jul-2011,0,XX,10616,10699,10605,10648.4,10648.4,23,61.21,5575,100,20-MAY-2011,
FUTIDX,CNXIT,26-May-2011,0,XX,6553,6623.05,6553,6598.05,6598.05,114,376.33,28350,-1550,20-MAY-2011,
FUTIDX,CNXIT,30-Jun-2011,0,XX,6643.1,6643.1,6643.1,6643.1,6686.1,1,3.32,20950,50,20-MAY-2011,
FUTIDX,CNXIT,28-Jul-2011,0,XX,0,0,0,6488,6734.8,0,0,1050,0,20-MAY-2011,
FUTIDX,MINIFTY,26-May-2011,0,XX,5436,5522,5428,5485.4,5485.4,50659,55536.31,882520,-206720,20-MAY-2011,
FUTIDX,MINIFTY,30-Jun-2011,0,XX,5442.8,5528.85,5432,5492.3,5492.3,9621,10564.84,326080,16580,20-MAY-2011,
FUTIDX,MINIFTY,28-Jul-2011,0,XX,5455.1,5543,5453,5507.45,5507.45,1526,1679.8,81120,-260,20-MAY-2011,
FUTIDX,NFTYMCAP50,26-May-2011,0,XX,0,0,0,2496,2445.55,0,0,75,0,20-MAY-2011,
FUTIDX,NFTYMCAP50,30-Jun-2011,0,XX,0,0,0,2569.5,2468.15,0,0,0,0,20-MAY-2011,
FUTIDX,NFTYMCAP50,28-Jul-2011,0,XX,0,0,0,2630.6,2486.15,0,0,0,0,20-MAY-2011,
FUTIDX,NIFTY,26-May-2011,0,XX,5440,5522.4,5428.8,5484.6,5484.6,402198,1102522.32,24554650,-892400,20-MAY-2011,
FUTIDX,NIFTY,30-Jun-2011,0,XX,5445,5529.4,5436.65,5491.3,5491.3,64524,177249.01,5541350,1134800,20-MAY-2011,
FUTIDX,NIFTY,28-Jul-2011,0,XX,5455.05,5544.4,5455.05,5507.6,5507.6,1957,5384.68,339200,-1850,20-MAY-2011,
FUTSTK,3IINFOTECH,26-May-2011,0,XX,46.75,47.2,45.8,46.3,46.3,399,743.47,10116000,-120000,20-MAY-2011,
FUTSTK,3IINFOTECH,30-Jun-2011,0,XX,47.15,47.5,46.2,46.65,46.65,137,257.22,1116000,332000,20-MAY-2011,
FUTSTK,3IINFOTECH,28-Jul-2011,0,XX,46.3,46.3,45.9,45.9,45.9,3,11.06,128000,8000,20-MAY-2011,
FUTSTK,ABAN,26-May-2011,0,XX,584.25,591.3,577.95,585.4,585.4,5476,8009.13,1245750,-269750,20-MAY-2011,
FUTSTK,ABAN,30-Jun-2011,0,XX,585.4,592.8,579.5,586.25,586.25,4021,5886.67,1106750,487250,20-MAY-2011,
FUTSTK,ABAN,28-Jul-2011,0,XX,0,0,0,614.2,594.45,0,0,3000,0,20-MAY-2011,
FUTSTK,ABB,26-May-2011,0,XX,853.75,869,853.25,859.95,859.95,352,758.92,839500,-9250,20-MAY-2011,
FUTSTK,ABB,30-Jun-2011,0,XX,848.9,861.95,848.9,854.95,854.95,46,98.46,39750,4250,20-MAY-2011,
FUTSTK,ABB,28-Jul-2011,0,XX,0,0,0,895.15,872.6,0,0,0,0,20-MAY-2011,
FUTSTK,ABGSHIP,26-May-2011,0,XX,360,364.75,358.15,361.85,361.85,785,2843.3,1774000,-324000,20-MAY-2011,
FUTSTK,ABGSHIP,30-Jun-2011,0,XX,365.35,367.65,360.45,364.2,364.2,397,1450.33,1585000,353000,20-MAY-2011,
FUTSTK,ABGSHIP,28-Jul-2011,0,XX,0,0,0,392.65,366.6,0,0,0,0,20-MAY-2011,
FUTSTK,ABIRLANUVO,26-May-2011,0,XX,851,870,841,861.2,861.2,311,665.5,819500,-1000,20-MAY-2011,
FUTSTK,ABIRLANUVO,30-Jun-2011,0,XX,861.9,875,848.1,868.05,868.05,152,328.79,61500,25000,20-MAY-2011,
FUTSTK,ABIRLANUVO,28-Jul-2011,0,XX,0,0,0,882.8,874.4,0,0,0,0,20-MAY-2011,
