"SYMBOL","FACE_VALUE"
"3IINFOTECH",10
"ABAN",2
"ABB",2
"ABGSHIP",10
"ABIRLANUVO",10
"ACC",10
"ADANIENT",1
"ADANIPOWER",10
"ALBK",10
"ALOKTEXT",10
"AMBUJACEM",2
"ANDHRABANK",10
"APIL",10
"APOLLOTYRE",1
"AREVAT&D",2
"ASHOKLEY",1
"ASIANPAINT",10
"AUROPHARMA",1
"AXISBANK",10
"BAJAJ-AUTO",10
"BAJAJHIND",1
"BAJAJHLDNG",10
"BALRAMCHIN",1
"BANKBARODA",10
"BANKINDIA",10
"BATAINDIA",10
"BEL",10
"BEML",10
"BGRENERGY",10
"BHARATFORG",2
"BHARTIARTL",5
"BHEL",10
"BHUSANSTL",2
"BIOCON",5
"BOMDYEING",10
"BOSCHLTD",10
"BPCL",10
"BRFL",10
"CAIRN",10
"CANBK",10
"CENTRALBK",10
"CENTURYTEX",10
"CESC",10
"CHAMBLFERT",10
"CHENNPETRO",10
"CIPLA",2
"COLPAL",1
"CONCOR",10
"COREPROTEC",2
"CROMPGREAV",2
"CUMMINSIND",2
"DABUR",1
"DCB",10
"DCHL",2
"DENABANK",10
"DISHTV",1
"DIVISLAB",2
"DLF",2
"DRREDDY",5
"EDUCOMP",2
"EKC",2
"ESCORTS",10
"ESSAROIL",10
"EXIDEIND",1
"FEDERALBNK",10
"FINANTECH",2
"FORTIS",10
"FSL",10
"GAIL",10
"GESHIP",10
"GLAXO",10
"GMDCLTD",2
"GMRINFRA",1
"GODREJIND",1
"GRASIM",10
"GSPL",10
"GTL",10
"GTLINFRA",10
"GTOFFSHORE",10
"GVKPIL",1
"HAVELLS",5
"HCC",1
"HCLTECH",2
"HDFC",2
"HDFCBANK",10
"HDIL",10
"HEROHONDA",2
"HEXAWARE",2
"HINDALCO",1
"HINDOILEXP",10
"HINDPETRO",10
"HINDUNILVR",1
"HINDZINC",2
"HOTELEELA",2
"IBREALEST",2
"ICICIBANK",10
"IDBI",10
"IDEA",10
"IDFC",10
"IFCI",10
"IGL",10
"INDHOTEL",1
"INDIACEM",10
"INDIAINFO",2
"INDIANB",10
"INDUSINDBK",10
"IOB",10
"IOC",10
"IRB",10
"ISPATIND",10
"ITC",1
"IVRCLINFRA",2
"JETAIRWAYS",10
"JINDALSAW",2
"JINDALSTEL",1
"JINDALSWHL",10
"JISLJALEQS",2
"JPASSOCIAT",2
"JPPOWER",10
"JSWSTEEL",10
"KFA",10
"KOTAKBANK",5
"KSOILS",1
"KTKBANK",10
"LICHSGFIN",2
"LITL",1
"LT",2
"LUPIN",2
"M&M",5
"MARUTI",5
"MAX",2
"MCDOWELL-N",10
"MCLEODRUSS",5
"MLL",1
"MOSERBAER",10
"MPHASIS",10
"MRF",10
"MRPL",10
"MTNL",10
"MUNDRAPORT",2
"NAGARFERT",10
"NATIONALUM",5
"NCC",2
"NEYVELILIG",10
"NHPC",10
"NMDC",1
"NTPC",10
"OFSS",5
"OIL",10
"ONGC",5
"ONMOBILE",10
"OPTOCIRCUI",10
"ORBITCORP",10
"ORCHIDCHEM",10
"ORIENTBANK",10
"PANTALOONR",2
"PATELENG",1
"PATNI",2
"PETRONET",10
"PFC",10
"PIRHEALTH",2
"PNB",10
"POLARIS",5
"POWERGRID",10
"PRAJIND",2
"PTC",10
"PUNJLLOYD",2
"RANBAXY",5
"RAYMOND",10
"RCOM",5
"RECLTD",10
"RELCAPITAL",10
"RELIANCE",10
"RELINFRA",10
"RELMEDIA",5
"RENUKA",1
"ROLTA",10
"RPOWER",10
"RUCHISOYA",2
"SAIL",10
"SBIN",10
"SCI",10
"SESAGOA",1
"SIEMENS",2
"SINTEX",1
"SKUMARSYNF",10
"SOBHA",10
"SREINFRA",10
"SRTRANSFIN",10
"STER",1
"STRTECH",2
"SUNPHARMA",1
"SUNTV",5
"SUZLON",2
"SYNDIBANK",10
"TATACHEM",10
"TATACOMM",10
"TATAGLOBAL",1
"TATAMOTORS",10
"TATAMTRDVR",10
"TATAPOWER",10
"TATASTEEL",10
"TCS",1
"TECHM",10
"TITAN",1
"TRIVENI",1
"TTML",10
"TULIP",2
"TVSMOTOR",1
"UCOBANK",10
"ULTRACEMCO",10
"UNIONBANK",10
"UNIPHOS",2
"UNITECH",2
"VIDEOIND",10
"VIJAYABANK",10
"VOLTAS",1
"WELCORP",5
"WIPRO",2
"YESBANK",10
"ZEEL",1
