"Symbol","Series","Record.Date","Bc.Start.Date","Bc.End.Date","Ex.Date","No.Delivery.Start.Date","No.Delivery.End.Date","Purpose","X"
"ABB","EQ","06/07/2007","-","-","28/06/2007","28/06/2007","05/07/2007","FV SPLIT RS.10/- TO RS.2/",""
"APOLLOTYRE","EQ","27/08/2007","-","-","17/08/2007","17/08/2007","24/08/2007","FV SPLIT RS.10/- TO RE.1/",""
"AREVAT&D","EQ","31/10/2008","-","-","22/10/2008","22/10/2008","29/10/2008","FV SPLIT RS.10/- TO RS.2/RD DATE REVISED",""
"AUROPHARMA","EQ","11/02/2011","-","-","10/02/2011","-","-","FACE VALUE SPLIT FROM RS.5/- TO RE.1/-",""
"BHUSANSTL","EQ","-","23/09/2010","25/09/2010","21/09/2010","-","-","ANNUAL GENERAL MEETING / DIVIDEND RS.2.50 PER SHARE AND FACE VALUE SPLIT FROM RS.10/- TO RS.2/-",""
"CROMPGREAV","EQ","18/08/2006","-","-","10/08/2006","10/08/2006","17/08/2006","FV SPLIT RS.10/- TO RS.2/",""
"DCHL","EQ","21/03/2007","-","-","13/03/2007","13/03/2007","20/03/2007","FV SPLIT RS.10/- TO RS.2/",""
"DIVISLAB","EQ","-","10/08/2007","13/08/2007","03/08/2007","03/08/2007","09/08/2007","AGM/FV SPLIT RS10 TO RS2",""
"EDUCOMP","EQ","28/10/2009","-","-","27/10/2009","-","-","FV SPLIT RS.10/- TO RS.2/",""
"EKC","EQ","28/08/2007","-","-","21/08/2007","21/08/2007","27/08/2007","FV SPLIT RS.10/- TO RS.2/",""
"EXIDEIND","EQ","15/09/2006","-","-","08/09/2006","08/09/2006","14/09/2006","FV SPLIT RS.10/- TO RE.1/",""
"GMDCLTD","EQ","16/11/2007","-","-","08/11/2007","08/11/2007","15/11/2007","FV SPLIT RS.10/- TO RS.2/",""
"GMRINFRA","EQ","08/10/2007","-","-","28/09/2007","28/09/2007","05/10/2007","FV SPLIT RS.10/- TO RS.2/",""
"GMRINFRA","EQ","05/10/2009","-","-","01/10/2009","-","-","FV SPLIT RS.2/- TO RE.1/-",""
"GODREJIND","EQ","01/09/2006","-","-","25/08/2006","25/08/2006","31/08/2006","FV SPLIT RS.6/- TO RE.1/",""
"GVKPIL","EQ","15/02/2008","-","-","08/02/2008","08/02/2008","14/02/2008","FV SPLIT RS.10/- TO RE.1/",""
"HDFC","EQ","20/08/2010","-","-","18/08/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RS.2/-",""
"HINDZINC","EQ","08/03/2011","-","-","07/03/2011","-","-","BONUS - 1:1 AND FACE VALUE SPLIT FROM RS. 10 TO RS. 2",""
"HOTELEELA","EQ","15/09/2006","-","-","08/09/2006","08/09/2006","14/09/2006","FV SPLIT RS.10/- TO RS.2/",""
"INDHOTEL","EQ","03/11/2006","-","-","27/10/2006","27/10/2006","02/11/2006","FV SPLIT RS.10/- TO RE.1/",""
"INDIAINFO","EQ","18/08/2008","-","-","08/08/2008","08/08/2008","14/08/2008","FV SPLIT RS.10/- TO RS.2/",""
"JINDALSAW","EQ","11/12/2009","-","-","10/12/2009","-","-","FV SPLIT RS.10/- TO RS.2/",""
"JINDALSTEL","EQ","28/01/2008","-","-","21/01/2008","21/01/2008","25/01/2008","FV SPLIT RS.5/- TO RE.1/-",""
"JISLJALEQS","EQ","01/11/2010","-","-","29/10/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RS.2/-",""
"JPASSOCIAT","EQ","26/12/2007","-","-","17/12/2007","17/12/2007","24/12/2007","FV SPLIT RS.10/- TO RS.2/",""
"KOTAKBANK","EQ","14/09/2010","-","-","13/09/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RS.5/-",""
"KSOILS","EQ","25/07/2007","-","-","18/07/2007","18/07/2007","24/07/2007","FV SPLIT RS.10/- TO RE.1/",""
"LICHSGFIN","EQ","31/12/2010","-","-","30/12/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RS.2/-",""
"LITL","EQ","05/01/2010","-","-","04/01/2010","-","-","FV SPLIT RS.10 TO RE.1",""
"LUPIN","EQ","30/08/2010","-","-","27/08/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RS.2/-",""
"M&M","EQ","30/03/2010","-","-","29/03/2010","-","-","FV SPLIT RS.10 TO RS.5",""
"MAX","EQ","19/03/2007","-","-","12/03/2007","12/03/2007","16/03/2007","FV SPLIT RS.10/- TO RS.2/",""
"MUNDRAPORT","EQ","24/09/2010","-","-","23/09/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RS.2/-",""
"NATIONALUM","EQ","16/03/2011","-","-","15/03/2011","-","-","BONUS 1:1 AND FACE VALUE SPLIT FROM RS.10/- TO RS.5/-",""
"NMDC","EQ","21/04/2008","-","-","10/04/2008","10/04/2008","17/04/2008","FV SPLIT RS.10/- TO RE.1/",""
"ONGC","EQ","09/02/2011","-","-","08/02/2011","-","-","BONUS 1:1 AND FACE VALUE SPLIT FROM RS.10/- TO RS.5/-",""
"PANTALOONR","EQ","19/12/2006","-","-","12/12/2006","12/12/2006","18/12/2006","FV SPLIT RS.10/- TO RS.2/",""
"PUNJLLOYD","EQ","06/04/2007","-","-","29/03/2007","29/03/2007","05/04/2007","FV SPLIT RS.10/- TO RS.2/",""
"RENUKA","EQ","21/04/2008","-","-","10/04/2008","10/04/2008","17/04/2008","FV SPLIT RS.10/- TO RE.1/",""
"RUCHISOYA","EQ","03/11/2007","-","-","29/10/2007","29/10/2007","02/11/2007","FV SPLIT RS.10/- TO RS.2/",""
"SIEMENS","EQ","20/06/2006","-","-","13/06/2006","13/06/2006","19/06/2006","FV SPLIT RS.10/- TO RS.2/",""
"SINTEX","EQ","28/10/2010","-","-","27/10/2010","-","-","FACE VALUE SPLIT FROM RS.2/- TO RE.1/-",""
"STER","EQ","22/06/2010","-","-","21/06/2010","-","-","BONUS 1:1 AND FACE VALUE SPLIT FROM RS.2/- TO RE.1/-",""
"SUNPHARMA","EQ","26/11/2010","-","-","25/11/2010","-","-","FACE VALUE SPLIT FROM RS.5/- TO RE.1/-",""
"SUZLON","EQ","28/01/2008","-","-","21/01/2008","21/01/2008","25/01/2008","FV SPLIT RS.10/- TO RS.2/",""
"TATAGLOBAL","EQ","02/07/2010","-","-","30/06/2010","-","-","FACE VALUE SPLIT FROM RS.10/- TO RE.1/-",""
"TITAN","EQ","24/06/2011","-","-","23/06/2011","-","-","BONUS 1:1 / FACE VALUE SPLIT FROM RS.10/- TO RE.1/-",""
"TULIP","EQ","07/07/2010","-","-","06/07/2010","-","-","FV SPLIT RS.10/- TO RS.2/-",""
"VOLTAS","EQ","29/09/2006","-","-","22/09/2006","22/09/2006","28/09/2006","FV SPLIT RS.10/- TO RE.1/",""
"3IINFOTECH","EQ","28/08/2007","-","-","27/08/2007","-","-","BONUS 1:1",""
"ADANIENT","EQ","11/12/2009","-","-","10/12/2009","-","-","BONUS 1:1",""
"BAJAJ-AUTO","EQ","10/09/2010","-","-","08/09/2010","-","-","BONUS 1:1",""
"BHEL","EQ","01/06/2007","-","-","31/05/2007","-","-","BONUS 1:1",""
"BIOCON","EQ","12/09/2008","-","-","11/09/2008","-","-","BONUS 1:1",""
"CIPLA","EQ","25/04/2006","-","-","24/04/2006","-","-","BONUS 3:2",""
"CONCOR","EQ","17/04/2008","-","-","16/04/2008","-","-","BONUS - 1:1",""
"CROMPGREAV","EQ","15/12/2006","-","-","14/12/2006","-","-","BONUS 2:5",""
"CROMPGREAV","EQ","09/03/2010","-","-","08/03/2010","-","-","BONUS 3:4",""
"DABUR","EQ","29/01/2007","-","-","25/01/2007","-","-","BONUS - 1:2",""
"DABUR","EQ","10/09/2010","-","-","08/09/2010","-","-","BONUS 1:1",""
"DIVISLAB","EQ","01/08/2009","-","-","30/07/2009","-","-","BONUS-1:1",""
"DRREDDY","EQ","29/08/2006","-","-","28/08/2006","-","-","BONUS 1:1",""
"DRREDDY","EQ","18/03/2011","-","-","17/03/2011","-","-","SCHEME OF ARRANGEMENT - BONUS DEBENTURES 6:1",""
"GAIL","EQ","07/10/2008","-","-","06/10/2008","-","-","BONUS 1:2",""
"GMDCLTD","EQ","17/10/2008","-","-","16/10/2008","-","-","BONUS 1:1",""
"HAVELLS","EQ","21/07/2006","-","-","20/07/2006","-","-","BONUS 1:1",""
"HAVELLS","EQ","11/10/2010","-","-","08/10/2010","-","-","BONUS 1:1",""
"HCC","EQ","11/08/2010","-","-","10/08/2010","-","-","BONUS 1:1",""
"HCLTECH","EQ","16/03/2007","-","-","15/03/2007","-","-","BONUS 1:1",""
"HDIL","EQ","22/08/2008","-","-","21/08/2008","-","-","BONUS - 2:7",""
