,"NSE_SYMBOL","TWS_SYMBOL","TABLE_NAME","COMPANY_NAME","YAHOO_NAME","SYMBOL","FACE_VALUE"
1,"BANKNIFTY","BANKNIFTY","BANKNIFTY",,,,
2,"CNXIT","NIFTY50","CNXIT",,,,
3,"MINIFTY","CNXIT","MINIFTY",,,,
4,"NFTYMCAP50","MINIFTY","NFTYMCAP50",,,,
5,"NIFTY","NFTYMCAP50","NIFTY",,,,
6,"3IINFOTECH ","III","3IINFOTECH ","3i Infotech Limited ","3IINFOTEC.NS","3IINFOTECH",10
7,"ABAN ","ABAN","ABAN ","Aban Offshore Limited ","ABAN.NS","ABAN",2
8,"ABB ","ABB","ABB ","ABB Limited ","ABB.NS","ABB",2
9,"ABGSHIP ","ABGS","ABGSHIP ","ABG Shipyard Limited ","ABGSHIP.NS","ABGSHIP",10
10,"ABIRLANUVO ","ABNL","ABIRLANUVO ","Aditya Birla Nuvo Limited ","ABIRLANUV.NS","ABIRLANUVO",10
11,"ACC ","ACC","ACC ","ACC Limited ","ACC.NS","ACC",10
12,"ADANIENT ","ADE","ADANIENT ","Adani Enterprises Limited ","ADANIENT.NS","ADANIENT",1
13,"ADANIPOWER ","ADANI","ADANIPOWER ","Adani Power Limited ","ADANIPOWE.NS","ADANIPOWER",10
14,"ALBK ","ALBK","ALBK ","Allahabad Bank ","ALBK.NS","ALBK",10
15,"ALOKTEXT ","ALOK","ALOKTEXT ","Alok Industries Limited ","ALOKTEXT.NS","ALOKTEXT",10
16,"AMBUJACEM ","ACEM","AMBUJACEM ","Ambuja Cements Limited ","AMBUJACEM.NS","AMBUJACEM",2
17,"ANDHRABANK ","ANDB","ANDHRABANK ","Andhra Bank ","ANDHRABAN.NS","ANDHRABANK",10
18,"APIL ","ABBAP","APIL ","Alstom Projects India Limited ","APIL.NS","APIL",10
19,"APOLLOTYRE ","APTY","APOLLOTYRE ","Apollo Tyres Limited ","APOLLOTYR.NS","APOLLOTYRE",1
20,"AREVAT&D ","ATD","AREVATANDD ","Areva T&D India Limited ","AREVAT&D.NS","AREVAT&D",2
21,"ASHOKLEY ","ALBK","ASHOKLEY ","Ashok Leyland Limited ","ASHOKLEY.NS","ASHOKLEY",1
22,"ASIANPAINT ","APNT","ASIANPAINT ","Asian Paints Limited ","ASIANPAIN.NS","ASIANPAINT",10
23,"AUROPHARMA ","ARBP","AUROPHARMA ","Aurobindo Pharma Limited ","AUROPHARM.NS","AUROPHARMA",1
24,"AXISBANK ","AXSB","AXISBANK ","Axis Bank Limited ","AXISBANK.NS","AXISBANK",10
25,"BAJAJ-AUTO ","BJAUT","BAJAJAUTO ","Bajaj Auto Limited ","BAJAJAUTO.NS","BAJAJ-AUTO",10
26,"BAJAJHIND ","BJH","BAJAJHIND ","Bajaj Hindusthan Limited ","BAJAJHIND.NS","BAJAJHIND",1
27,"BAJAJHLDNG ","BJHI","BAJAJHLDNG ","Bajaj Holdings & Investment Limited ","BAJAJHLDN.NS","BAJAJHLDNG",10
28,"BALRAMCHIN ","BRCM","BALRAMCHIN ","Balrampur Chini Mills Limited ","BALRAMCHI.NS","BALRAMCHIN",1
29,"BANKBARODA ","BOB","BANKBARODA ","Bank of Baroda ","BANKBAROD.NS","BANKBARODA",10
30,"BANKINDIA ","BOI","BANKINDIA ","Bank of India ","BANKINDIA.NS","BANKINDIA",10
31,"BATAINDIA ","BATA","BATAINDIA ","Bata India Limited ","BATAINDIA.NS","BATAINDIA",10
32,"BEL ","BHE","BEL ","Bharat Electronics Limited ","BEL.NS","BEL",10
33,"BEML ","BEML","BEML ","BEML Limited ","BEML.NS","BEML",10
34,"BGRENERGY ","BGRL","BGRENERGY ","BGR Energy Systems Limited ","BGRENERGY.NS","BGRENERGY",10
35,"BHARATFORG ","BHFC","BHARATFORG ","Bharat Forge Limited ","BHARATFOR.NS","BHARATFORG",2
36,"BHARTIARTL ","BHARTI","BHARTIARTL ","Bharti Airtel Limited ","BHARTIART.NS","BHARTIARTL",5
37,"BHEL ","BHEL","BHEL ","Bharat Heavy Electricals Limited ","BHEL.NS","BHEL",10
38,"BHUSANSTL ","BHUS","BHUSANSTL ","Bhushan Steel Limited ","BHUSANSTL.NS","BHUSANSTL",2
39,"BIOCON ","BIOS","BIOCON ","Biocon Limited ","BIOCON.NS","BIOCON",5
40,"BOMDYEING ","BD","BOMDYEING ","Bombay Dyeing & Mfg Company Limited ","BOMDYEING.NS","BOMDYEING",10
41,"BOSCHLTD ","BOS","BOSCHLTD ","Bosch Limited ","BOSCHLTD.NS","BOSCHLTD",10
42,"BPCL ","BPCL","BPCL ","Bharat Petroleum Corporation Limited ","BPCL.NS","BPCL",10
43,"BRFL ","BRFL","BRFL ","Bombay Rayon Fashions Limited ","BRFL.NS","BRFL",10
44,"CAIRN ","CAIR","CAIRN ","Cairn India Limited ","CAIRN.NS","CAIRN",10
45,"CANBK ","CBK","CANBK ","Canara Bank ","CANBK.NS","CANBK",10
46,"CENTRALBK ","CBOI","CENTRALBK ","Central Bank of India ","CENTRALBK.NS","CENTRALBK",10
47,"CENTURYTEX ","CENT","CENTURYTEX ","Century Textiles & Industries Limited ","CENTURYTE.NS","CENTURYTEX",10
48,"CESC ","CESC","CESC ","CESC Limited ","CESC.NS","CESC",10
49,"CHAMBLFERT ","CHMB","CHAMBLFERT ","Chambal Fertilizers & Chemicals Limited ","CHAMBLFER.NS","CHAMBLFERT",10
50,"CHENNPETRO ","MRL","CHENNPETRO ","Chennai Petroleum Corporation Limited ","CHENNPETR.NS","CHENNPETRO",10
51,"CIPLA ","CIPLA","CIPLA ","Cipla Limited ","CIPLA.NS","CIPLA",2
52,"COLPAL ","CLGT","COLPAL ","Colgate Palmolive (India) Limited ","COLPAL.NS","COLPAL",1
53,"CONCOR ","CCRI","CONCOR ","Container Corporation of India Limited ","CONCOR.NS","CONCOR",10
54,"COREPROTEC ","CPTL","COREPROTEC ","Core Projects and Technologies Limited ","COREPROTE.NS","COREPROTEC",2
55,"CROMPGREAV ","CRG","CROMPGREAV ","Crompton Greaves Limited ","CROMPGREA.NS","CROMPGREAV",2
56,"CUMMINSIND ","KKC","CUMMINSIND ","Cummins India Limited ","CUMMINSIN.NS","CUMMINSIND",2
57,"DABUR ","DABUR","DABUR ","Dabur India Limited ","DABUR.NS","DABUR",1
58,"DCB ","DCB","DCB ","Development Credit Bank Limited ","DCB.NS","DCB",10
59,"DCHL ","DECH","DCHL ","Deccan Chronicle Holdings Limited ","DCHL.NS","DCHL",2
60,"DENABANK ","DBNK","DENABANK ","Dena Bank ","DENABANK.NS","DENABANK",10
61,"DISHTV ","DITV","DISHTV ","Dish TV India Limited ","DISHTV.NS","DISHTV",1
62,"DIVISLAB ","DIVI","DIVISLAB ","Divi's Laboratories Limited ","DIVISLAB.NS","DIVISLAB",2
63,"DLF ","DLFU","DLF ","DLF Limited ","DLF.NS","DLF",2
64,"DRREDDY ","DRRD","DRREDDY ","Dr. Reddy's Laboratories Limited ","DRREDDY.NS","DRREDDY",5
65,"EDUCOMP ","EDSL","EDUCOMP ","Educomp Solutions Limited ","EDUCOMP.NS","EDUCOMP",2
66,"EKC ","EKCL","EKC ","Everest Kanto Cylinder Limited ","EKC.NS","EKC",2
67,"ESCORTS ","ESC","ESCORTS ","Escorts Limited ","ESCORTS.NS","ESCORTS",10
68,"ESSAROIL ","ESOIL","ESSAROIL ","Essar Oil Limited ","ESSAROIL.NS","ESSAROIL",10
69,"EXIDEIND ","EXID","EXIDEIND ","Exide Industries Limited ","EXIDEIND.NS","EXIDEIND",1
70,"FEDERALBNK ","FB","FEDERALBNK ","The Federal Bank Limited ","FEDERALBN.NS","FEDERALBNK",10
71,"FINANTECH ","FTECH","FINANTECH ","Financial Technologies (India) Limited ","FINANTECH.NS","FINANTECH",2
72,"FORTIS ","FORH","FORTIS ","Fortis Healthcare Limited ","FORTIS.NS","FORTIS",10
73,"FSL ","FSOL","FSL ","Firstsource Solutions Limited ","FSL.NS","FSL",10
74,"GAIL ","GAIL","GAIL ","GAIL (India) Limited ","GAIL.NS","GAIL",10
75,"GESHIP ","GESCO","GESHIP ","The Great Eastern Shipping Company Limited ","GESHIP.NS","GESHIP",10
76,"GLAXO ","GLXO","GLAXO ","GlaxoSmithKline Pharmaceuticals Limited ","GLAXO.NS","GLAXO",10
77,"GMDCLTD ","GMDC","GMDCLTD ","Gujarat Mineral Development Corporation Limited ","GMDCLTD.NS","GMDCLTD",2
78,"GMRINFRA ","GMRI","GMRINFRA ","GMR Infrastructure Limited ","GMRINFRA.NS","GMRINFRA",1
79,"GODREJIND ","GDSP","GODREJIND ","Godrej Industries Limited ","GODREJIND.NS","GODREJIND",1
80,"GRASIM ","GRASIM","GRASIM ","Grasim Industries Limited ","GRASIM.NS","GRASIM",10
81,"GSPL ","GUJS","GSPL ","Gujarat State Petronet Limited ","GSPL.NS","GSPL",10
82,"GTL ","GTS","GTL ","GTL Limited ","GTL.NS","GTL",10
83,"GTLINFRA ","GTLI","GTLINFRA ","GTL Infrastructure Limited ","GTLINFRA.NS","GTLINFRA",10
84,"GTOFFSHORE ","GOFF","GTOFFSHORE ","Great Offshore Limited ","GTOFFSHOR.NS","GTOFFSHORE",10
85,"GVKPIL ","GVKP","GVKPIL ","GVK Power & Infrastructure Limited ","GVKPIL.NS","GVKPIL",1
86,"HAVELLS ","HAVL","HAVELLS ","Havells India Limited ","HAVELLS.NS","HAVELLS",5
