DATE,DAY,HOLIDAY
"2011-01-26","Wed","Republic Day"
"2011-03-02","Wed","Mahashivratri"
"2011-04-12","Tue","Ram Navmi"
"2011-04-14","Thu","Dr. Ambedkar Jayanti"
"2011-04-22","Fri","Good Friday"
"2011-08-15","Mon","Independence Day"
"2011-08-31","Wed","Ramzan ID"
"2011-09-01","Thu","Ganesh Chaturthi"
"2011-10-06","Thu","Dasara"
"2011-10-26","Wed","Laxmi Puja*"
"2011-10-27","Thu","Diwali - Balipratipada"
"2011-11-07","Mon","Bakri Id"
"2011-11-10","Thu","Gurunanak Jayanti"
"2011-12-06","Tue","Moharram"
"2010-01-01","Friday","New Year"
"2010-01-26","Tuesday","Republic Day"
"2010-02-12","Friday","Mahashivratri"
"2010-03-01","Monday","Holi"
"2010-03-24","Wednesday","Ram Navmi"
"2010-04-02","Friday","Good Friday"
"2010-04-14","Wednesday","Dr. Ambedkar Jayanti"
"2010-09-10","Friday","Ramzan ID"
"2010-11-05","Friday","Laxmi Puja*"
"2010-11-17","Wednesday","Bakri Id"
"2010-12-17","Friday","Moharram"
2009-01-08,"Thursday","Moharum"
2009-01-26,"Monday","Republic Day"
2009-02-23,"Monday","Mahashivratri"
2009-03-10,"Tuesday","Id-E-Milad"
2009-03-11,"Wednesday","Holi"
2009-03-27,"Friday","Gudi Padwa"
2009-04-01,"Wednesday","Annual Bank Closing"
2009-04-03,"Friday","Ram Navmi"
2009-04-07,"Tuesday","Mahavir Jayanti"
2009-04-10,"Friday","Good Friday"
2009-04-14,"Tuesday","Dr. Babasaheb Ambedkar Jayanti"
2009-04-30,"Thursday","Elections"
2009-05-01,"Friday","class=""SpellE""Maharashtra Day"
2009-07-01,"Wednesday","RBI closing"
2009-08-19,"Wednesday","Parsi New Year (Shahenshahi)"
2009-09-21,"Monday","Ramzan-Id"
2009-09-28,"Monday","Dasara"
2009-09-30,"Wednesday","Half yearly Bank Closing"
2009-10-02,"Friday","Mahatma Gandhi Jayanti"
2009-10-13,"Tuesday","Assembly Elections"
2009-10-19,"Monday","Bhaubeej"
2009-11-02,"Monday","Guru Nanak Jayanti"
2009-12-25,"Friday","Christmas"
2009-12-28,"Monday","Moharram"
2008-03-06,"Thursday","Mahashivratri"
2008-03-20,"Thursday","Id-E-Milad"
2008-03-21,"Friday","Good Friday"
2008-04-14,"Monday","Dr. Babasaheb Ambedkar Jayanti"
2008-04-18,"Friday","Mahavir Jayanti"
2008-05-01,"Thursday","Maharashtra Day"
