"Agro","Tata Chemicals Limited   ","Tata Chemicals Limited    "
"Agro","Coromandel International Limited   ","Coromandel International Limited    "
"Agro","United Phosphorus Limited   ","United Phosphorus Limited    "
"Agro","National Fertilizer Limited   ","National Fertilizer Limited    "
"Agro","Rashtriya Chemicals & Fertilizers Limited   ","Rashtriya Chemicals & Fertilizers Limited    "
"Agro","Bayer CropScience Limited   ","Bayer CropScience Limited    "
"Agro","Chambal Fertilisers & Chemicals Limited   ","Chambal Fertilisers & Chemicals Limited    "
"Agro","Ruchi Soya Industries Limited   ","Ruchi Soya Industries Limited    "
"Agro","Rallis India Limited   ","Rallis India Limited    "
"Agro","Gujarat State Fertilizers & Chemicals Limited   ","Gujarat State Fertilizers & Chemicals Limited    "
"Agro","REI Agro Limited   ","REI Agro Limited    "
"Agro","Fertilizers & Chemicals Travancore Limited   ","Fertilizers & Chemicals Travancore Limited    "
"Agro","Oswal Chemicals & Fertilizers Limited   ","Oswal Chemicals & Fertilizers Limited    "
"Agro","Sanwaria Agro Oils Limited   ","Sanwaria Agro Oils Limited    "
"Agro","Zuari Industries Limited   ","Zuari Industries Limited    "
"Agro","Monsanto India Limited   ","Monsanto India Limited    "
"Agro","Gujarat Narmada Valley Fertilisers Company Limited   ","Gujarat Narmada Valley Fertilisers Company Limited    "
"Agro","Deepak Fertilizers & Petrochemicals Corp Limited   ","Deepak Fertilizers & Petrochemicals Corp Limited    "
"Agro","Nagarjuna Fertilizers & Chemicals Limited   ","Nagarjuna Fertilizers & Chemicals Limited    "
"Agro","Gokul Refoils and Solvent Limited   ","Gokul Refoils and Solvent Limited    "
"Agro","Karuturi Global Limited   ","Karuturi Global Limited    "
"Agro","K S Oils Limited   ","K S Oils Limited    "
"Agro","Agro Tech Foods Limited   ","Agro Tech Foods Limited    "
"Agro","KRBL Limited   ","KRBL Limited    "
"Agro","Carol Info Services Limited   ","Carol Info Services Limited    "
"Agro","Venkys (India) Limited   ","Venkys (India) Limited    "
"Agro","Kaveri Seed Company Limited   ","Kaveri Seed Company Limited    "
"Agro","Ruchi Infrastructure Limited   ","Ruchi Infrastructure Limited    "
"Agro","Sabero Organics Gujarat Limited   ","Sabero Organics Gujarat Limited    "
"Agro","Madras Fertilizers Limited   ","Madras Fertilizers Limited    "
"Agro","Advanta India Limited   ","Advanta India Limited    "
"Agro","Insecticides India Limited   ","Insecticides India Limited    "
"Agro","Gujarat Ambuja Exports Limited   ","Gujarat Ambuja Exports Limited    "
"Agro","Neha International Limited   ","Neha International Limited    "
"Agro","Mangalore Chemicals & Fertilizers Limited   ","Mangalore Chemicals & Fertilizers Limited    "
"Agro","Usher Agro Limited   ","Usher Agro Limited    "
"Agro","Southern Petrochemicals Industries Corporation Limited   ","Southern Petrochemicals Industries Corporation Limited    "
"Agro","Meghmani Organics Limited   ","Meghmani Organics Limited    "
