"SECTORS","SYMBOLS","NAMES"
"Agro","CHAMBLFERT ","Chambal Fertilizers & Chemicals Limited "
"Agro","KSOILS ","K S Oils Limited "
"Agro","NAGARFERT ","Nagarjuna Fertilizer & Chemicals Limited "
"Agro","RUCHISOYA ","Ruchi Soya Industries Limited "
"Agro","TATACHEM ","Tata Chemicals Limited "
"Agro","UNIPHOS ","United Phosphorus Limited "
"Airlines","JETAIRWAYS ","Jet Airways (India) Limited "
"Airlines","KFA ","Kingfisher Airlines Limited "
"Auto Ancillaries","BOSCHLTD ","Bosch Limited "
"Auto Ancillaries","EXIDEIND ","Exide Industries Limited "
"Automobiles","ASHOKLEY ","Ashok Leyland Limited "
"Automobiles","BAJAJ-AUTO ","Bajaj Auto Limited "
"Automobiles","ESCORTS ","Escorts Limited "
"Automobiles","HEROHONDA ","Hero Honda Motors Limited "
"Automobiles","M&M ","Mahindra & Mahindra Limited "
"Automobiles","MARUTI ","Maruti Suzuki India Limited "
"Automobiles","TATAMOTORS ","Tata Motors Limited "
"Automobiles","TATAMTRDVR ","Tata Motors Limited "
"Automobiles","TVSMOTOR ","TVS Motor Company Limited "
"Banks","ALBK ","Allahabad Bank "
"Banks","ANDHRABANK ","Andhra Bank "
"Banks","AXISBANK ","Axis Bank Limited "
"Banks","BANKBARODA ","Bank of Baroda "
"Banks","BANKINDIA ","Bank of India "
"Banks","CANBK ","Canara Bank "
"Banks","CENTRALBK ","Central Bank of India "
"Banks","DCB ","Development Credit Bank Limited "
"Banks","DENABANK ","Dena Bank "
"Banks","FEDERALBNK ","The Federal Bank Limited "
"Banks","HDFCBANK ","HDFC Bank Limited "
"Banks","ICICIBANK ","ICICI Bank Limited "
"Banks","IDBI ","IDBI Bank Limited "
"Banks","INDIANB ","Indian Bank "
"Banks","INDUSINDBK ","IndusInd Bank Limited "
"Banks","IOB ","Indian Overseas Bank "
"Banks","KOTAKBANK ","Kotak Mahindra Bank Limited "
"Banks","KTKBANK ","The Karnataka Bank Limited "
"Banks","ORIENTBANK ","Oriental Bank of Commerce "
"Banks","PNB ","Punjab National Bank "
"Banks","SBIN ","State Bank of India "
"Banks","SYNDIBANK ","Syndicate Bank "
"Banks","UCOBANK ","UCO Bank "
"Banks","UNIONBANK ","Union Bank of India "
"Banks","VIJAYABANK ","Vijaya Bank "
"Banks","YESBANK ","Yes Bank Limited "
"Beverages","MCDOWELL-N ","United Spirits Limited "
"Beverages","MCLEODRUSS ","Mcleod Russel India Limited "
"Beverages","TATAGLOBAL ","Tata Global Beverages Limited "
"Cement","ACC ","ACC Limited "
"Cement","AMBUJACEM ","Ambuja Cements Limited "
"Cement","INDIACEM ","The India Cements Limited "
"Cement","ULTRACEMCO ","UltraTech Cement Limited "
