"","x"
"1","3IINFOTECH"
"2","ABAN"
"3","ABB"
"4","ABGSHIP"
"5","ABIRLANUVO"
"6","ACC"
"7","ADANIENT"
"8","ADANIPOWER"
"9","ALBK"
"10","ALOKTEXT"
"11","AMBUJACEM"
"12","ANDHRABANK"
"13","APIL"
"14","APOLLOTYRE"
"15","AREVAT&D"
"16","ASHOKLEY"
"17","ASIANPAINT"
"18","AUROPHARMA"
"19","AXISBANK"
"20","BAJAJ-AUTO"
"21","BAJAJHIND"
"22","BAJAJHLDNG"
"23","BALRAMCHIN"
"24","BANKBARODA"
"25","BANKINDIA"
"26","BATAINDIA"
"27","BEL"
"28","BEML"
"29","BGRENERGY"
"30","BHARATFORG"
"31","BHARTIARTL"
"32","BHEL"
"33","BHUSANSTL"
"34","BIOCON"
"35","BOMDYEING"
"36","BOSCHLTD"
"37","BPCL"
"38","BRFL"
"39","CAIRN"
"40","CANBK"
"41","CENTRALBK"
"42","CENTURYTEX"
"43","CESC"
"44","CHAMBLFERT"
"45","CHENNPETRO"
"46","CIPLA"
"47","COLPAL"
"48","CONCOR"
"49","COREPROTEC"
"50","CROMPGREAV"
"51","CUMMINSIND"
"52","DABUR"
"53","DCB"
"54","DCHL"
"55","DENABANK"
"56","DISHTV"
"57","DIVISLAB"
"58","DLF"
"59","DRREDDY"
"60","EDUCOMP"
"61","EKC"
"62","ESCORTS"
"63","ESSAROIL"
"64","EXIDEIND"
"65","FEDERALBNK"
"66","FINANTECH"
"67","FORTIS"
"68","FSL"
"69","GAIL"
"70","GESHIP"
"71","GLAXO"
"72","GMDCLTD"
"73","GMRINFRA"
"74","GODREJIND"
"75","GRASIM"
"76","GSPL"
"77","GTL"
"78","GTLINFRA"
"79","GTOFFSHORE"
"80","GVKPIL"
"81","HAVELLS"
"82","HCC"
"83","HCLTECH"
"84","HDFC"
"85","HDFCBANK"
"86","HDIL"
"87","HEROHONDA"
"88","HEXAWARE"
"89","HINDALCO"
"90","HINDOILEXP"
"91","HINDPETRO"
"92","HINDUNILVR"
"93","HINDZINC"
"94","HOTELEELA"
"95","IBREALEST"
"96","ICICIBANK"
"97","IDBI"
"98","IDEA"
"99","IDFC"
"100","IFCI"
"101","IGL"
"102","INDHOTEL"
"103","INDIACEM"
"104","INDIAINFO"
"105","INDIANB"
"106","INDUSINDBK"
"107","INFOSYSTCH"
"108","IOB"
"109","IOC"
"110","IRB"
"111","ISPATIND"
"112","ITC"
"113","IVRCLINFRA"
"114","JETAIRWAYS"
"115","JINDALSAW"
"116","JINDALSTEL"
"117","JINDALSWHL"
"118","JISLJALEQS"
"119","JPASSOCIAT"
"120","JPPOWER"
"121","JSWSTEEL"
"122","KFA"
"123","KOTAKBANK"
"124","KSOILS"
"125","KTKBANK"
"126","LICHSGFIN"
"127","LITL"
"128","LT"
"129","LUPIN"
"130","M&M"
"131","MARUTI"
"132","MAX"
"133","MCDOWELL-N"
"134","MCLEODRUSS"
"135","MLL"
"136","MOSERBAER"
"137","MPHASIS"
"138","MRF"
"139","MRPL"
"140","MTNL"
"141","MUNDRAPORT"
"142","NAGARCONST"
"143","NAGARFERT"
"144","NATIONALUM"
"145","NEYVELILIG"
"146","NHPC"
"147","NMDC"
"148","NTPC"
"149","OFSS"
"150","OIL"
"151","ONGC"
"152","ONMOBILE"
"153","OPTOCIRCUI"
"154","ORBITCORP"
"155","ORCHIDCHEM"
"156","ORIENTBANK"
"157","PANTALOONR"
"158","PATELENG"
"159","PATNI"
"160","PETRONET"
"161","PFC"
"162","PIRHEALTH"
"163","PNB"
"164","POLARIS"
"165","POWERGRID"
"166","PRAJIND"
"167","PTC"
"168","PUNJLLOYD"
"169","RANBAXY"
"170","RCOM"
"171","RECLTD"
"172","RELCAPITAL"
"173","RELIANCE"
"174","RELINFRA"
"175","RELMEDIA"
"176","RENUKA"
"177","ROLTA"
"178","RPOWER"
"179","RUCHISOYA"
"180","SAIL"
"181","SBIN"
"182","SCI"
"183","SESAGOA"
"184","SIEMENS"
"185","SINTEX"
"186","SKUMARSYNF"
"187","SOBHA"
"188","SREINFRA"
"189","SRTRANSFIN"
"190","STER"
"191","STERLINBIO"
"192","STRTECH"
"193","SUNPHARMA"
"194","SUNTV"
"195","SUZLON"
"196","SYNDIBANK"
"197","TATACHEM"
"198","TATACOMM"
"199","TATAGLOBAL"
"200","TATAMOTORS"
"201","TATAMTRDVR"
"202","TATAPOWER"
"203","TATASTEEL"
"204","TCS"
"205","TECHM"
"206","TITAN"
"207","TRIVENI"
"208","TTML"
"209","TULIP"
"210","TV-18"
"211","TVSMOTOR"
"212","UCOBANK"
"213","ULTRACEMCO"
"214","UNIONBANK"
"215","UNIPHOS"
"216","UNITECH"
"217","VIDEOIND"
"218","VIJAYABANK"
"219","VOLTAS"
"220","WELCORP"
"221","WIPRO"
"222","YESBANK"
"223","ZEEL"
