"NSE";"YAHOO"
"3IINFOTECH";"3IINFOTEC.NS"
"ABAN";"ABAN.NS"
"ABB";"ABB.NS"
"ABGSHIP";"ABGSHIP.NS"
"ABIRLANUVO";"ABIRLANUV.NS"
"ACC";"ACC.NS"
"ADANIENT";"ADANIENT.NS"
"ADANIPOWER";"ADANIPOWE.NS"
"ALBK";"ALBK.NS"
"ALOKTEXT";"ALOKTEXT.NS"
"AMBUJACEM";"AMBUJACEM.NS"
"ANDHRABANK";"ANDHRABAN.NS"
"APIL";"APIL.NS"
"APOLLOTYRE";"APOLLOTYR.NS"
"AREVAT&D";"AREVAT&D.NS"
"ASHOKLEY";"ASHOKLEY.NS"
"ASIANPAINT";"ASIANPAIN.NS"
"AUROPHARMA";"AUROPHARM.NS"
"AXISBANK";"AXISBANK.NS"
"BAJAJAUTO";"BAJAJ-AUT.NS"
"BAJAJHIND";"BAJAJHIND.NS"
"BAJAJHLDNG";"BAJAJHLDN.NS"
"BALRAMCHIN";"BALRAMCHI.NS"
"BANKBARODA";"BANKBAROD.NS"
"BANKINDIA";"BANKINDIA.NS"
"BATAINDIA";"BATAINDIA.NS"
"BEL";"BEL.NS"
"BEML";"BEML.NS"
"BGRENERGY";"BGRENERGY.NS"
"BHARATFORG";"BHARATFOR.NS"
"BHARTIARTL";"BHARTIART.NS"
"BHEL";"BHEL.NS"
"BHUSANSTL";"BHUSANSTL.NS"
"BIOCON";"BIOCON.NS"
"BOMDYEING";"BOMDYEING.NS"
"BOSCHLTD";"BOSCHLTD.NS"
"BPCL";"BPCL.NS"
"BRFL";"BRFL.NS"
"CAIRN";"CAIRN.NS"
"CANBK";"CANBK.NS"
"CENTRALBK";"CENTRALBK.NS"
"CENTURYTEX";"CENTURYTE.NS"
"CESC";"CESC.NS"
"CHAMBLFERT";"CHAMBLFER.NS"
"CHENNPETRO";"CHENNPETR.NS"
"CIPLA";"CIPLA.NS"
"COLPAL";"COLPAL.NS"
"CONCOR";"CONCOR.NS"
"COREPROTEC";"COREPROTE.NS"
"CROMPGREAV";"CROMPGREA.NS"
"CUMMINSIND";"CUMMINSIN.NS"
"DABUR";"DABUR.NS"
"DCB";"DCB.NS"
"DCHL";"DCHL.NS"
"DENABANK";"DENABANK.NS"
"DISHTV";"DISHTV.NS"
"DIVISLAB";"DIVISLAB.NS"
"DLF";"DLF.NS"
"DRREDDY";"DRREDDY.NS"
"EDUCOMP";"EDUCOMP.NS"
"EKC";"EKC.NS"
"ESCORTS";"ESCORTS.NS"
"ESSAROIL";"ESSAROIL.NS"
"EXIDEIND";"EXIDEIND.NS"
