"","X","SYMBOL","NEW_POS","EXIST","BONUS","EX_DATE"
"1",1,"3IINFOTECH",2,1,1,"2007-08-27"
"2",2,"ADANIENT",2,1,1,"2009-12-10"
"3",3,"BAJAJAUTO",2,1,1,"2010-09-08"
"4",4,"BHEL",2,1,1,"2007-05-31"
"5",5,"BIOCON",2,1,1,"2008-09-11"
"6",6,"CIPLA",5,3,2,"2006-04-24"
"7",7,"CONCOR",2,1,1,"2008-04-16"
"8",8,"CROMPGREAV",7,2,5,"2006-12-14"
"9",9,"CROMPGREAV",7,3,4,"2010-03-08"
"10",10,"DABUR",3,1,2,"2007-01-25"
"11",11,"DABUR",2,1,1,"2010-09-08"
"12",12,"DIVISLAB",2,1,1,"2009-07-30"
"13",13,"DRREDDY",2,1,1,"2006-08-28"
"14",14,"DRREDDY",7,6,1,"2011-03-17"
"15",15,"GAIL",3,1,2,"2008-10-06"
"16",16,"GMDCLTD",2,1,1,"2008-10-16"
"17",17,"HAVELLS",2,1,1,"2006-07-20"
"18",18,"HAVELLS",2,1,1,"2010-10-08"
"19",19,"HCC",2,1,1,"2010-08-10"
"20",20,"HCLTECH",2,1,1,"2007-03-15"
"21",21,"HDIL",9,2,7,"2008-08-21"
"22",22,"HEXAWARE",2,1,1,"2011-02-24"
"23",23,"HINDZINC",2,1,1,"2011-03-07"
"24",24,"IOC",2,1,1,"2009-10-29"
"25",25,"ITC",2,1,1,"2010-08-03"
"26",26,"IVRCLINFRA",2,1,1,"2010-03-18"
"27",27,"JPASSOCIAT",3,1,2,"2009-12-17"
"28",28,"LT",2,1,1,"2006-09-28"
"29",29,"LT",2,1,1,"2008-10-01"
"30",30,"LUPIN",2,1,1,"2006-08-11"
"31",31,"MOSERBAER",3,1,2,"2007-07-17"
"32",32,"NATIONALUM",2,1,1,"2011-03-15"
"33",33,"NCC",2,1,1,"2006-09-20"
"34",34,"NMDC",3,2,1,"2008-05-21"
"35",35,"ONGC",2,1,1,"2011-02-08"
"36",36,"ONGC",3,1,2,"2006-10-27"
"37",37,"ONMOBILE",2,1,1,"2011-05-03"
"38",38,"OPTOCIRCUI",2,1,1,"2006-10-30"
"39",39,"OPTOCIRCUI",3,1,2,"2007-10-25"
"40",40,"OPTOCIRCUI",17,7,10,"2008-11-03"
"41",41,"ORBITCORP",2,1,1,"2010-06-29"
"42",42,"PRAJIND",2,1,1,"2007-07-18"
"43",43,"RELIANCE",2,1,1,"2009-11-26"
"44",44,"RENUKA",2,1,1,"2010-03-15"
"45",45,"ROLTA",2,1,1,"2008-01-24"
"46",46,"RPOWER",8,3,5,"2008-05-30"
"47",47,"SCI",3,1,2,"2008-10-29"
"48",48,"SIEMENS",2,1,1,"2008-02-29"
"49",49,"SREINFRA",9,4,5,"2011-02-10"
"50",50,"STER",2,1,1,"2010-06-21"
"51",51,"TCS",2,1,1,"2009-06-16"
"52",52,"TCS",2,1,1,"2006-07-28"
"53",53,"TITAN",2,1,1,"2011-06-23"
"54",54,"TVAND18",2,1,1,"2007-10-17"
"55",55,"TVSMOTOR",2,1,1,"2010-09-08"
"56",56,"UNIPHOS",2,1,1,"2008-10-29"
"57",57,"UNITECH",2,1,1,"2007-08-30"
"58",58,"WIPRO",5,2,3,"2010-06-15"
"59",59,"ZEEL",2,1,1,"2010-11-11"
