"SYMBOL","PURPOSE","VALUE","EX_DATE"
"3IINFOTECH","AGM/DIV.-RE.1/- PER SHARE","1","2005-06-30"
"3IINFOTECH","AGM/DIV-RS.1.50 PER SHARE","1.5","2008-07-07"
"3IINFOTECH","AGM/DIV-RS.1.50 PER SHARE","1.5","2009-07-09"
"3IINFOTECH","DIVIDEND-RS.1.50 PER SHARE","1.5","2010-07-08"
"3IINFOTECH","AGM/DIV-RS.2/- PER SH","2","2006-06-30"
"3IINFOTECH","AGM/DIVIDEND-RS.2 PER SH","2","2007-07-05"
"ABAN","AGM/DIV-RS.3.60 PER SHARE","3.6","2009-09-08"
"ABAN","ANNUAL GENERAL MEETING AND DIVIDEND RS.3.60 PER SHARE","3.6","2010-09-15"
"ABAN","DIVIDEND-100%","100.00%","2005-08-22"
"ABAN","AGM/DIVIDEND-130%        PURPOSE REVISED","130.00%","2006-07-06"
"ABAN","DIVIDEND-150%","150.00%","2007-08-08"
"ABAN","DIVIDEND - 180%","180.00%","2008-09-08"
"ABB","AGM/DIV-RS.2/- PER SHARE","2","2010-05-03"
"ABB","ANNUAL GENERAL MEETING AND DIVIDEND - RS.2/- PER SHARE","2","2011-05-02"
"ABB","AGM/DIV-RS.2.20 PER SHARE","2.2","2009-05-11"
"ABB","AGM/DIV-RS2.20 PER SHARE","2.2","2008-05-26"
"ABB","AGM/DIV-RS.8/- PER SH","8","2006-05-12"
"ABB","AGM/DIV-RS.10/- PER SH","10","2007-05-14"
"ABGSHIP","AGM/DIV-RS.1.50/- PER SH","1.5","2007-09-20"
"ABGSHIP","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2010-09-16"
"ABGSHIP","AGM/DIVIDEND - 20%","20.00%","2008-09-11"
"ABIRLANUVO","AGM/ DIV-RS.4/- PER SHARE","4","2005-06-09"
"ABIRLANUVO","AGM/DIV-RS.4/- PER SHARE","4","2009-07-02"
"ABIRLANUVO","AGM/DIV-RS.5/- PER SH","5","2006-08-08"
"ABIRLANUVO","AGM/DIV-RS.5.75 PER SHARE","5.75","2008-07-03"
"ABIRLANUVO","INTERIM DIVIDEND-55%     PURPOSE REVISED","55.00%","2007-03-20"
"ACC","AGM/DIVIDEND-RS8/- PER SH","8","2006-03-29"
"ACC","AGM/DIV-RS.10/- PER SHARE","10","2009-03-24"
"ACC","AGM/DIVIDEND - RS10 PR SH","10","2008-04-10"
"ACC","INT DIV - RS.10 PER SHAREPURPOSE REVISED","10","2008-07-31"
"ACC","INTERIM DIVIDEND-RS.10/- PER SHARE (PURPOSE REVISED)","10","2010-07-28"
"ACC","AGM/DIV-RS.15/- PER SH","15","2007-03-14"
"ACC","FINAL DIVIDEND RS.13/- PER SHARE AND ONE TIME SPECIAL DIVIDEND RS.7.50/- PER SHARE","21.5","2011-03-29"
"ADANIENT","AGM/DIV-RE.1/- PER SHARE","1","2009-08-20"
"ADANIENT","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2010-08-12"
"ADANIENT","AGM/DIVIDEND-40%","40.00%","2005-08-05"
"ADANIENT","AGM/FINAL DIVIDEND-45%","45.00%","2006-07-24"
"ADANIENT","INTERIM DIVIDEND-45%     PURPOSE REVISED","45.00%","2007-03-22"
"ADANIENT","AGM/DIVIDEND - 60%","60.00%","2008-09-18"
"ALBK","AGM/DIV-RS.2.50 PER SHARE","2.5","2009-05-19"
"ALBK","AGM/DIVIDEND RS 5.50 PER SHARE/ ELECTION OF  DIRECTOR","5.5","2010-05-13"
"ALBK","ANNUAL GENERAL MEETING AND DIVIDEND RS.6/- PER SHARE","6","2011-05-12"
"ALBK","AGM/EGM/FIN DIVIDEND-15%","15.00%","2005-06-02"
"ALBK","AGM/DIVIDEND - 30%","30.00%","2007-06-07"
"ALBK","AGM/DIVIDEND - 35%       PURPOSE REVISED","35.00%","2008-05-29"
"ALBK","AGM/FINAL DIVIDEND-40%","40.00%","2006-06-29"
"ALOKTEXT","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.25 PER SHARE","0.25","2010-09-08"
"ALOKTEXT","INT DIV-RS.0.75 PER SHAREPURPOSE REVISED","0.75","2009-04-28"
"ALOKTEXT","AGM/DIVIDEND - 12%","12.00%","2008-09-18"
"ALOKTEXT","AGM/DIVIDEND-12%","12.00%","2006-09-18"
"ALOKTEXT","AGM/DIVIDEND-12%","12.00%","2005-09-15"
"ALOKTEXT","AGM/DIVIDEND-14%","14.00%","2007-09-14"
"AMBUJACEM","FINAL DIVIDEND-RE.1 PR SH","1","2008-02-14"
"AMBUJACEM","DIVIDEND-RS.1.20 PR SHARE","1.2","2010-02-18"
"AMBUJACEM","INT DIV-RS.1.20 PER SHARE","1.2","2009-08-04"
"AMBUJACEM","INTERIM DIVIDEND-RS.1.20 PER SHARE","1.2","2010-08-05"
"AMBUJACEM","FINAL DIVIDEND-RS.1.40 PER SHARE","1.4","2011-02-11"
"AMBUJACEM","DIV INT-RS1.20+SPL-RS1.30","2.5","2007-08-03"
"AMBUJACEM","DIVIDEND-30%","30.00%","2005-08-17"
"AMBUJACEM","FINAL DIVIDEND-40%","40.00%","2007-02-21"
"AMBUJACEM","FINAL DIVIDEND - 50%","50.00%","2009-02-18"
"AMBUJACEM","INTERIM DIVIDEND-50%","50.00%","2006-05-04"
"AMBUJACEM","INTERIM DIVIDEND - 60%","60.00%","2008-08-08"
"AMBUJACEM","INTERIM DIVIDEND-75%","75.00%","2006-11-02"
"ANDHRABANK","AGM/DIV-RS.4.50 PER SHARE","4.5","2009-06-12"
"ANDHRABANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.5/- PER SHARE","5","2010-06-03"
"ANDHRABANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.5.50 PER SHARE","5.5","2011-06-15"
"ANDHRABANK","DIVIDEND-15%             PURPOSE REVSIED","15.00%","2005-05-11"
"ANDHRABANK","AGM/FINAL DIVIDEND-18%","18.00%","2007-06-19"
"ANDHRABANK","AGM/DIVIDEND - 20%","20.00%","2008-06-10"
"ANDHRABANK","INTERIM DIVIDEND - 20%   PURPOSE REVISED","20.00%","2008-03-14"
"ANDHRABANK","INTERIM DIVIDEND-20%     PURPOSE REVISED","20.00%","2007-03-22"
"ANDHRABANK","DIVIDEND-35%","35.00%","2006-05-12"
"APIL","AGM/DIV-RS.4/- PER SH","4","2006-07-14"
"APIL","AGM/ DIV.-RS.5.50/-PER SH","5.5","2005-07-15"
"APIL","AGM/DIV-RS.8 PER SHARE","8","2008-07-15"
"APIL","AGM/DIV-RS.10/- PER SHARE","10","2009-07-13"
"APIL","ANNUAL GENERAL MEETING AND DIVIDEND RS.10/- PER SHARE","10","2011-06-29"
"APIL","AGM/DIVIDEND-100%","100.00%","2007-07-13"
"APOLLOTYRE","AGM/DIV-RE0.45 PER SHARE","0.45","2009-06-29"
"APOLLOTYRE","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.75 PER SHARE","0.75","2010-07-14"
"APOLLOTYRE","AGM/DIV-RS.4.50 PER SH","4.5","2006-08-21"
"APOLLOTYRE","INT DIV-RS.4.50 PER SHARE","4.5","2007-03-23"
"APOLLOTYRE","AGM/DIVIDEND - 50%","50.00%","2008-06-27"
"AREVAT&D","DIVIDEND-RS.1.80 PER SHARE","1.8","2011-04-26"
"AREVAT&D","DIVIDEND-RS.1.80 PR SHARE","1.8","2010-04-13"
"AREVAT&D","AGM/DIVIDEND - 90%       BC DATES REVISED","90.00%","2009-04-29"
"ASHOKLEY","AGM/DIV-RE.1/- PER SHARE","1","2009-07-14"
"ASHOKLEY","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-07-16"
"ASHOKLEY","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2011-06-29"
"ASHOKLEY","AGM/DIVIDEND-100%","100.00%","2005-07-07"
