"Symbol";"Series";"Record.Date";"Bc.Start.Date";"Bc.End.Date";"Ex.Date";"No.Delivery.Start.Date";"No.Delivery.End.Date";"Purpose";"X"
"747";"3IINFOTECH";"EQ";"28/08/2007";"-";"-";"27/08/2007";"-";"-";"BONUS 1:1"
"924";"ABB";"EQ";"06/07/2007";"-";"-";"28/06/2007";"28/06/2007";"05/07/2007";"FV SPLIT 10 TO 2"
"1124";"ADANIENT";"EQ";"11/12/2009";"-";"-";"10/12/2009";"-";"-";"BONUS 1:1"
"2403";"APOLLOTYRE";"EQ";"27/08/2007";"-";"-";"17/08/2007";"17/08/2007";"24/08/2007";"FV SPLIT 10 TO 1"
"2576";"AREVATANDD";"EQ";"31/10/2008";"-";"-";"22/10/2008";"22/10/2008";"29/10/2008";"FV SPLIT 10 TO 2 RD DATE REVISED"
"3242";"AUROPHARMA";"EQ";"11/02/2011";"-";"-";"10/02/2011";"-";"-";"FACE VALUE SPLIT FROM 5 TO 1"
"3567";"BAJAJAUTO";"EQ";"10/09/2010";"-";"-";"08/09/2010";"-";"-";"BONUS 1:1"
"4576";"BHEL";"EQ";"01/06/2007";"-";"-";"31/05/2007";"-";"-";"BONUS 1:1"
"4622";"BHUSANSTL";"EQ";"-";"23/09/2010";"25/09/2010";"21/09/2010";"-";"-";"ANNUAL GENERAL MEETING  DIVIDEND 2.50 PER SHARE AND FACE VALUE SPLIT FROM 10 TO 2"
"4763";"BIOCON";"EQ";"12/09/2008";"-";"-";"11/09/2008";"-";"-";"BONUS 1:1"
"6448";"CIPLA";"EQ";"25/04/2006";"-";"-";"24/04/2006";"-";"-";"BONUS 3:2"
"6691";"CONCOR";"EQ";"17/04/2008";"-";"-";"16/04/2008";"-";"-";"BONUS - 1:1"
"7121";"CROMPGREAV";"EQ";"18/08/2006";"-";"-";"10/08/2006";"10/08/2006";"17/08/2006";"FV SPLIT 10 TO 2"
"7115";"CROMPGREAV";"EQ";"15/12/2006";"-";"-";"14/12/2006";"-";"-";"BONUS 2:5"
"7117";"CROMPGREAV";"EQ";"09/03/2010";"-";"-";"08/03/2010";"-";"-";"BONUS 3:4"
"7377";"DABUR";"EQ";"29/01/2007";"-";"-";"25/01/2007";"-";"-";"BONUS - 1:2"
"7383";"DABUR";"EQ";"10/09/2010";"-";"-";"08/09/2010";"-";"-";"BONUS 1:1"
"7554";"DCHL";"EQ";"21/03/2007";"-";"-";"13/03/2007";"13/03/2007";"20/03/2007";"FV SPLIT 10 TO 2"
"8049";"DIVISLAB";"EQ";"-";"10/08/2007";"13/08/2007";"03/08/2007";"03/08/2007";"09/08/2007";"AGMFV SPLIT 10 TO 2"
"8059";"DIVISLAB";"EQ";"01/08/2009";"-";"-";"30/07/2009";"-";"-";"BONUS- 1:1"
"8199";"DRREDDY";"EQ";"29/08/2006";"-";"-";"28/08/2006";"-";"-";"BONUS 1:1"
"8212";"DRREDDY";"EQ";"18/03/2011";"-";"-";"17/03/2011";"-";"-";"SCHEME OF ARRANGEMENT - BONUS DEBENTURES 6:1"
"8612";"EDUCOMP";"EQ";"28/10/2009";"-";"-";"27/10/2009";"-";"-";"FV SPLIT 10 TO 2"
"8783";"EKC";"EQ";"28/08/2007";"-";"-";"21/08/2007";"21/08/2007";"27/08/2007";"FV SPLIT 10 TO 2"
"9638";"EXIDEIND";"EQ";"15/09/2006";"-";"-";"08/09/2006";"08/09/2006";"14/09/2006";"FV SPLIT 10 TO 1"
"10440";"GAIL";"EQ";"07/10/2008";"-";"-";"06/10/2008";"-";"-";"BONUS 1:2"
"11405";"GMDCLTD";"EQ";"16/11/2007";"-";"-";"08/11/2007";"08/11/2007";"15/11/2007";"FV SPLIT 10 TO 2"
"11389";"GMDCLTD";"EQ";"17/10/2008";"-";"-";"16/10/2008";"-";"-";"BONUS 1:1"
"11430";"GMRINFRA";"EQ";"08/10/2007";"-";"-";"28/09/2007";"28/09/2007";"05/10/2007";"FV SPLIT 10 TO 2"
"11434";"GMRINFRA";"EQ";"05/10/2009";"-";"-";"01/10/2009";"-";"-";"FV SPLIT 2 TO 1"
"11627";"GODREJIND";"EQ";"01/09/2006";"-";"-";"25/08/2006";"25/08/2006";"31/08/2006";"FV SPLIT 6 TO 1"
"12560";"GVKPIL";"EQ";"15/02/2008";"-";"-";"08/02/2008";"08/02/2008";"14/02/2008";"FV SPLIT 10 TO 1"
"12691";"HAVELLS";"EQ";"21/07/2006";"-";"-";"20/07/2006";"-";"-";"BONUS 1:1"
"12695";"HAVELLS";"EQ";"11/10/2010";"-";"-";"08/10/2010";"-";"-";"BONUS 1:1"
"12777";"HCC";"EQ";"11/08/2010";"-";"-";"10/08/2010";"-";"-";"BONUS 1:1"
"12918";"HCLTECH";"EQ";"16/03/2007";"-";"-";"15/03/2007";"-";"-";"BONUS 1:1"
"12969";"HDFC";"EQ";"20/08/2010";"-";"-";"18/08/2010";"-";"-";"FACE VALUE SPLIT FROM 10 TO 2"
"13018";"HDIL";"EQ";"22/08/2008";"-";"-";"21/08/2008";"-";"-";"BONUS - 2:7"
"13207";"HEXAWARE";"EQ";"25/02/2011";"-";"-";"24/02/2011";"-";"-";"DIVIDEND  1.40 PER SHARE  BONUS 1:1"
"13678";"HINDZINC";"EQ";"08/03/2011";"-";"-";"07/03/2011";"-";"-";"BONUS - 1:1 AND FACE VALUE SPLIT FROM  10 TO  2"
"14033";"HOTELEELA";"EQ";"15/09/2006";"-";"-";"08/09/2006";"08/09/2006";"14/09/2006";"FV SPLIT 10 TO 2"
"15197";"INDHOTEL";"EQ";"03/11/2006";"-";"-";"27/10/2006";"27/10/2006";"02/11/2006";"FV SPLIT 10 TO 1"
"15331";"INDIAINFO";"EQ";"18/08/2008";"-";"-";"08/08/2008";"08/08/2008";"14/08/2008";"FV SPLIT 10 TO 2"
"16043";"IOC";"EQ";"30/10/2009";"-";"-";"29/10/2009";"-";"-";"BONUS 1:1"
"16313";"ITC";"EQ";"04/08/2010";"-";"-";"03/08/2010";"-";"-";"BONUS 1:1"
"16471";"IVRCLINFRA";"EQ";"19/03/2010";"-";"-";"18/03/2010";"-";"-";"BONUS 1:1"
"17026";"JINDALSAW";"EQ";"11/12/2009";"-";"-";"10/12/2009";"-";"-";"FV SPLIT 10 TO 2"
"17051";"JINDALSTEL";"EQ";"28/01/2008";"-";"-";"21/01/2008";"21/01/2008";"25/01/2008";"FV SPLIT 5 TO 1"
"17134";"JISLJALEQS";"EQ";"01/11/2010";"-";"-";"29/10/2010";"-";"-";"FACE VALUE SPLIT FROM 10 TO 2"
"17375";"JPASSOCIAT";"EQ";"26/12/2007";"-";"-";"17/12/2007";"17/12/2007";"24/12/2007";"FV SPLIT 10 TO 2"
"17371";"JPASSOCIAT";"EQ";"18/12/2009";"-";"-";"17/12/2009";"-";"-";"BONUS 1:2"
"18656";"KOTAKBANK";"EQ";"14/09/2010";"-";"-";"13/09/2010";"-";"-";"FACE VALUE SPLIT FROM 10 TO 5"
"19003";"KSOILS";"EQ";"25/07/2007";"-";"-";"18/07/2007";"18/07/2007";"24/07/2007";"FV SPLIT 10 TO 1"
"19373";"LICHSGFIN";"EQ";"31/12/2010";"-";"-";"30/12/2010";"-";"-";"FACE VALUE SPLIT FROM 10 TO 2"
"19394";"LITL";"EQ";"05/01/2010";"-";"-";"04/01/2010";"-";"-";"FV SPLIT 10 TO 1"
"19577";"LT";"EQ";"29/09/2006";"-";"-";"28/09/2006";"-";"-";"BONUS 1:1"
"19580";"LT";"EQ";"03/10/2008";"-";"-";"01/10/2008";"-";"-";"BONUS 1:1"
