"SNo","company.1","company.2","value"
"1",1,"ICICIBANK","BANKNIFTY",1
"2",2,"HINDPETRO","BPCL",1
"3",3,"VIJAYABANK","DENABANK",1
"4",4,"UCOBANK","DENABANK",1
"5",5,"NAGARFERT","CHAMBLFERT",1
"6",6,"VIJAYABANK","UCOBANK",1
"7",7,"BALRAMCHIN","BAJAJHIND",1
"8",8,"IDBI","DENABANK",1
"9",9,"IOC","HINDPETRO",1
"10",10,"SYNDIBANK","DENABANK",1
"11",11,"VIJAYABANK","IDBI",1
"12",12,"UCOBANK","SYNDIBANK",1
"13",13,"RENUKA","BAJAJHIND",1
"14",14,"VIJAYABANK","SYNDIBANK",1
"15",15,"IOB","DENABANK",1
"16",16,"RENUKA","BALRAMCHIN",1
"17",17,"NIFTY","CENTURYTEX",1
"18",18,"BANKNIFTY","VIJAYABANK",1
"19",19,"BANKNIFTY","DENABANK",1
"20",20,"BANKNIFTY","UCOBANK",1
"21",21,"BANKNIFTY","IDBI",1
"22",22,"BANKNIFTY","SYNDIBANK",1
"23",23,"BANKNIFTY","IOB",1
