INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,24-Feb-2011,0,XX,10550,10724.5,10432,10672.1,10672.1,93726,247603.78,1224925,141550,31-JAN-2011,
FUTIDX,BANKNIFTY,31-Mar-2011,0,XX,10575,10743,10465.5,10696.7,10696.7,1212,3207.53,21775,2475,31-JAN-2011,
FUTIDX,BANKNIFTY,28-Apr-2011,0,XX,10111.05,10741.15,10111.05,10718,10718,5,13.17,75,50,31-JAN-2011,
FUTIDX,CNXIT,24-Feb-2011,0,XX,7035.5,7050,6907,6999.2,6999.2,373,1298.71,13000,-6000,31-JAN-2011,
FUTIDX,CNXIT,31-Mar-2011,0,XX,6908,6908,6908,6908,7076.85,1,3.45,50,50,31-JAN-2011,
FUTIDX,CNXIT,28-Apr-2011,0,XX,0,0,0,7312.55,7127.55,0,0,0,0,31-JAN-2011,
FUTIDX,MINIFTY,24-Feb-2011,0,XX,5473,5544,5438,5523.85,5523.85,55857,61301.22,1157800,-51440,31-JAN-2011,
FUTIDX,MINIFTY,31-Mar-2011,0,XX,5504.8,5560,5457,5540.1,5540.1,4741,5217.95,112920,10460,31-JAN-2011,
FUTIDX,MINIFTY,28-Apr-2011,0,XX,5365,5575,5365,5558.55,5558.55,630,696.12,10940,2420,31-JAN-2011,
FUTIDX,NFTYMCAP50,24-Feb-2011,0,XX,2552,2581,2525,2542,2567.35,7,13.4,375,0,31-JAN-2011,
FUTIDX,NFTYMCAP50,31-Mar-2011,0,XX,0,0,0,2941.85,2592.35,0,0,0,0,31-JAN-2011,
FUTIDX,NFTYMCAP50,28-Apr-2011,0,XX,0,0,0,2686.95,2610.9,0,0,0,0,31-JAN-2011,
FUTIDX,NIFTY,24-Feb-2011,0,XX,5475,5545,5438.1,5523.55,5523.55,563102,1544738.71,20455250,28000,31-JAN-2011,
FUTIDX,NIFTY,31-Mar-2011,0,XX,5497,5559.25,5457.2,5538.3,5538.3,19852,54613.78,1192850,324650,31-JAN-2011,
FUTIDX,NIFTY,28-Apr-2011,0,XX,5505,5579.5,5480.1,5560.75,5560.75,983,2715.51,39000,25200,31-JAN-2011,
FUTSTK,3IINFOTECH,24-Feb-2011,0,XX,50,51.15,49.6,49.95,49.95,187,376.95,5500000,152000,31-JAN-2011,
FUTSTK,3IINFOTECH,31-Mar-2011,0,XX,51.1,51.1,50,50.25,50.25,12,24.31,52000,4000,31-JAN-2011,
FUTSTK,3IINFOTECH,28-Apr-2011,0,XX,0,0,0,54.9,50.6,0,0,0,0,31-JAN-2011,
FUTSTK,ABAN,24-Feb-2011,0,XX,670,676.5,657.2,672.3,672.3,2859,4770.89,2034500,51000,31-JAN-2011,
FUTSTK,ABAN,31-Mar-2011,0,XX,667.95,678.05,661.85,675.75,675.75,61,101.9,24500,4000,31-JAN-2011,
FUTSTK,ABAN,28-Apr-2011,0,XX,0,0,0,712.7,684.35,0,0,0,0,31-JAN-2011,
FUTSTK,ABB,24-Feb-2011,0,XX,691.55,748.5,679.95,736.35,736.35,1298,2357.94,787750,-70750,31-JAN-2011,
FUTSTK,ABB,31-Mar-2011,0,XX,689.8,738,689.8,735.95,735.95,10,18.13,1750,500,31-JAN-2011,
FUTSTK,ABB,28-Apr-2011,0,XX,0,0,0,738.8,748.8,0,0,0,0,31-JAN-2011,
FUTSTK,ABGSHIP,24-Feb-2011,0,XX,348,355.5,341,351.7,351.7,890,3108.51,3315000,16000,31-JAN-2011,
FUTSTK,ABGSHIP,31-Mar-2011,0,XX,354.9,354.9,353.5,354.7,354.7,6,21.26,6000,0,31-JAN-2011,
FUTSTK,ABGSHIP,28-Apr-2011,0,XX,0,0,0,367.35,356.55,0,0,0,0,31-JAN-2011,
FUTSTK,ABIRLANUVO,24-Feb-2011,0,XX,755.8,762.5,740.65,752.5,752.5,440,828.6,1054750,-15750,31-JAN-2011,
FUTSTK,ABIRLANUVO,31-Mar-2011,0,XX,0,0,0,818.65,761.65,0,0,250,0,31-JAN-2011,
FUTSTK,ABIRLANUVO,28-Apr-2011,0,XX,0,0,0,763.75,767.1,0,0,0,0,31-JAN-2011,
FUTSTK,ACC,24-Feb-2011,0,XX,970.25,989.9,957,981.75,981.75,2075,5041.14,1870000,6250,31-JAN-2011,
FUTSTK,ACC,31-Mar-2011,0,XX,964.75,975.2,945.4,965,1006.7,16,38.47,103750,1500,31-JAN-2011,
FUTSTK,ACC,28-Apr-2011,0,XX,0,0,0,1063.2,1013.9,0,0,0,0,31-JAN-2011,
FUTSTK,ADANIENT,24-Feb-2011,0,XX,575.9,578.05,557.25,567.5,567.5,420,1195.12,1091500,40500,31-JAN-2011,
FUTSTK,ADANIENT,31-Mar-2011,0,XX,559.4,579.4,559.4,579.4,572.75,2,5.69,3000,1000,31-JAN-2011,
FUTSTK,ADANIENT,28-Apr-2011,0,XX,0,0,0,626.5,576.85,0,0,0,0,31-JAN-2011,
FUTSTK,ADANIPOWER,24-Feb-2011,0,XX,124,125.65,121.2,123.95,123.95,202,498.4,1956000,-32000,31-JAN-2011,
FUTSTK,ADANIPOWER,31-Mar-2011,0,XX,0,0,0,133.75,125.6,0,0,0,0,31-JAN-2011,
FUTSTK,ADANIPOWER,28-Apr-2011,0,XX,0,0,0,128.95,126.5,0,0,0,0,31-JAN-2011,
FUTSTK,ALBK,24-Feb-2011,0,XX,199.95,209.25,198,204.15,204.15,1371,2796.35,1119000,113000,31-JAN-2011,
FUTSTK,ALBK,31-Mar-2011,0,XX,213.45,213.45,209.7,209.7,205.55,2,4.23,7000,1000,31-JAN-2011,
FUTSTK,ALBK,28-Apr-2011,0,XX,0,0,0,216.5,207,0,0,0,0,31-JAN-2011,
FUTSTK,ALOKTEXT,24-Feb-2011,0,XX,25.8,26.45,25.4,26.25,26.25,2469,6412.7,50920000,720000,31-JAN-2011,
FUTSTK,ALOKTEXT,31-Mar-2011,0,XX,25.95,26.65,25.8,26.5,26.5,134,350.79,1430000,560000,31-JAN-2011,
FUTSTK,ALOKTEXT,28-Apr-2011,0,XX,0,0,0,27.45,26.65,0,0,0,0,31-JAN-2011,
FUTSTK,AMBUJACEM,24-Feb-2011,0,XX,123.65,126.8,123.65,126,126,751,1881.4,8366000,110000,31-JAN-2011,
FUTSTK,AMBUJACEM,31-Mar-2011,0,XX,124.95,126.5,124.6,126.5,126.5,76,189.97,228000,114000,31-JAN-2011,
FUTSTK,AMBUJACEM,28-Apr-2011,0,XX,0,0,0,135.25,129,0,0,0,0,31-JAN-2011,
